sample_id,episode,variation_id,score,label,completed,collided,progress_ratio,qp_failures,mean_abs_cte,min_obstacle_clearance,min_barrier_clearance,alpha,margin,lookahead_l,barrier_lookahead_l,Wv,Ww,p_slack,eps_clf
11,0,11,267.0194670862726,1,True,False,1.0,0,0.23384657021804714,0.004261966689164426,0.04204328140036437,3.694488929556653,0.11279056847445243,0.16494203265678012,0.08888839975182586,87664.05847176038,2.745500968278683,125.14929707769808,0.9396893214208641
12,0,12,324.8740654232199,1,True,False,1.0,0,0.1533969887832752,-0.08939528410809519,-0.01365104647291824,6.753373950199817,0.04394892126818448,0.06723088447133542,0.20019500929748335,28391.177610392406,2.416723197248073,56.41504978483065,1.5772523637533775
13,0,13,215.11199195460435,1,True,False,1.0,0,0.3449960646466589,0.2458662953998022,0.3644369080371379,1.352756191224645,0.05721852725652039,0.06576655593298121,0.0796627363528015,109785.39603056286,2.8021625551348004,79.36996898803683,1.1903581834478165
14,0,14,174.18813233821854,-1,False,False,0.1175607369965759,0,0.140922523717506,-0.00424410158115146,1.0108367875440398,13.219328919906841,0.054421066699602616,0.17215528663504578,0.169389499734327,20945.41759769459,2.316844702735965,234.8550641626956,1.8456048337839353
15,0,15,296.92513324875404,1,True,False,1.0,0,0.18853858384524017,0.037738601850821646,0.07461159246058582,3.114871893075417,0.11334193923074284,0.06098398450493211,0.18047640057564063,71836.22587879395,0.9786741803990353,77.0250819503871,1.6859356725915775
16,0,16,170.05823314270316,1,True,False,1.0,0,0.5183595012524351,-0.039038213384474926,0.06677615222312262,1.1997966555845485,0.08284619478662907,0.21067449503862648,0.14208057325155338,57115.652930259144,1.2924821894400043,37.892272427006255,0.9173158159355976
17,0,17,85.13850827455785,-1,False,False,0.8405348116745476,0,0.4037461562578832,-0.008495836061946302,-0.028084186771183614,3.5116843859400513,0.05460614391124784,0.2401435716680548,0.15173323481777934,20092.828091956777,1.4503361693307486,428.4736208413002,1.0556129564000925
18,0,18,217.25512676463904,-1,False,False,0.11527800423936084,0,0.09829748659587859,0.028677204148905636,1.0728033633541776,14.725526512328253,0.07155226691062709,0.15902156451498256,0.20344648379456012,59793.263131665946,2.532285023484879,78.96968519738701,1.7929193610110767
19,0,19,270.29618578668743,1,True,False,1.0,0,0.22839477836578295,-0.06749888216143249,-0.07048775428160883,6.763046098696438,0.11227595761684675,0.07305591690315369,0.1287994979041861,32665.313122733623,3.828283684536474,44.865435190515036,1.670266550345585
20,0,20,103.4316037074746,-1,False,False,0.2788195010598402,0,0.2571188506889332,-0.09656881500589685,0.5138150055641026,10.470596799980308,0.09170859042811229,0.1796282147396387,0.2154497133538528,19694.89833028383,1.893964458877797,38.43159882728488,0.38619689396285983
21,0,21,280.46097383722304,1,True,False,1.0,0,0.2123027568946623,-0.02322466678045311,-0.03856675518423054,3.980714729654749,0.11154643971239082,0.21963207526009404,0.07798491863881263,41038.28668750029,2.177187732113687,135.6325005803249,1.4207675112354075
22,0,22,230.9506896071113,1,True,False,1.0,0,0.3049226760407567,-0.06471304411523655,-0.0007091721993322669,5.293232872444206,0.11613508447364569,0.14850960666161372,0.1604961367783851,44686.25396366221,1.1436128877839191,24.40698525943466,0.9995785999465574
23,0,23,145.04224754388227,-1,False,False,0.8358062938203163,0,0.25226205877546076,-0.07911706830936076,-0.04746071185232158,11.69642123813856,0.10152217882917718,0.19869795731039233,0.07811279240403568,94902.71916222856,3.307128022990493,337.279443301189,1.1896170600578013
24,0,24,285.5561319733539,-1,False,False,0.11919126039458666,0,0.045012390019636764,-0.04011766305180331,1.1145623469575143,13.818896091410254,0.024665223795388717,0.06575487844700437,0.06323449173698349,15862.404473153132,1.36999420623144,36.571974520018905,1.2639948912551726
25,0,25,122.9140419851989,-1,False,False,0.8362954508397196,0,0.29711755142963275,0.09331977798995975,0.04082418183460498,1.5458017744626351,0.07903878678348517,0.09154211907897122,0.1684597933707695,8469.865758813727,1.586995689686182,409.99147111285356,1.215273845791316
26,0,26,-7287.646109327503,-1,False,False,0.11723463231697374,2484,0.15192606567251182,-0.007073527590304274,0.9925644934742833,12.36222363845451,0.08580260816117258,0.17604264926656998,0.09060042881358357,37899.25122176075,0.6389024646065,264.06372240361543,1.9321205589444994
27,0,27,116.57882780139667,-1,False,False,0.11560410891896299,0,0.2153365563911119,-0.046237506884309436,1.0274141101173915,12.956126998785834,0.02507096459660612,0.12434541584224151,0.11088051165796517,10855.640577360284,2.6931413676484235,260.51257057208466,0.8333265024038146
28,0,28,219.58927410412326,-1,False,False,0.11609326593836622,0,0.09627509437379896,-0.03137945178999152,1.0074738040644304,13.079329288862287,0.09971269128461296,0.0845362088801217,0.18269746507810486,87323.77475277011,1.1904889944111128,126.74941136414753,1.385874942237575
29,0,29,102.91537725903626,-1,False,False,0.8377629218979292,0,0.347329470272212,-0.07714791914799145,-0.03651870395157812,9.530679604896397,0.02962456776280435,0.18562637759284034,0.16111275594872299,74482.54524019622,3.312294446956149,57.33126481772445,1.5274804659751415
30,0,30,233.9429977119175,-1,False,False,0.11511495189955975,0,0.08390120609474078,-0.022413481423073617,1.0543565760086424,13.141827426012984,0.10929477581907895,0.09068734211992985,0.06427237601380553,46612.12823012406,1.2513669546031716,122.76155261554885,1.9061677006716296
31,0,31,288.5280018740043,1,True,False,1.0,0,0.20033148303227907,-0.05413911036158525,-0.019718987200982308,6.310474739535948,0.04527745503843067,0.1467369094927552,0.1651590261233174,10519.415257846933,1.8320466722518995,30.75843223171483,1.4261585767442315
32,0,32,176.6445839511378,-1,False,False,0.11641937061796837,0,0.13816864153782757,-0.006779236631462612,1.0563588001929116,12.627735451684575,0.05768537814087825,0.13062755102713947,0.14632346543158953,14322.458146518997,1.3659335706586981,57.82873595521947,1.0776236868349696
33,0,33,206.57288972742927,1,True,False,1.0,0,0.36987738173671153,0.1408916757531823,0.12562084642475912,2.1414404442360278,0.09527321363670056,0.1700203691415583,0.10795101966248019,9869.424586736422,3.1711333299051843,30.497943652565887,0.5264512919944531
34,0,34,63.66176049736943,-1,False,False,0.8534159465188326,0,0.4984036920297139,-0.021800706306480882,-0.07067548859976812,2.829579441301873,0.028126231111599048,0.23221454942604883,0.10307908794774248,18342.426643258037,3.4147800850072367,147.1112217575724,0.618143757119222
35,0,35,111.78367627865555,-1,False,False,0.834991032121311,0,0.32332035447425045,-0.059879196408624574,-0.019392472228140473,7.087387773272244,0.10839224647221465,0.1313210632336981,0.1737410485114454,10397.877274182047,3.0456367185849036,243.49687988286777,1.7038035288936253
36,0,36,133.4714403106138,-1,False,False,0.11853905103538236,0,0.1909454658856901,-0.05505387065850931,1.0647183867545646,10.438813866092957,0.05707327948262525,0.07220028003155969,0.1430041974496472,62220.28011603677,1.1679337122138702,47.12090973742411,1.2114040720449326
37,0,37,170.6214549335426,-1,False,False,0.11381053318115116,0,0.1445646940731967,-0.046328409462243286,1.0434775754170806,11.47664188057087,0.10965867307591795,0.08389088833149214,0.08948323405863945,69729.80173022504,2.7558256805821615,203.66045350149778,1.9945109805532333
38,0,38,150.86648905332314,-1,False,False,0.11544105657916191,0,0.16789210352443715,0.018755789278159712,1.0368555773104227,14.148519421672336,0.10430250668415861,0.2076520037201046,0.1232030744330299,45418.62047665249,1.1455597485630262,230.5460549347453,1.5880741296812608
39,0,39,128.54892224062206,-1,False,False,0.8364585031795206,0,0.2848538035895074,-0.08605962629703376,-0.013266287190367793,11.098132990886066,0.0644799024426779,0.131854262470256,0.12716334917919062,8755.883409092157,3.4551204074402255,114.61212030955967,0.9587816863029432
40,0,40,146.28331359340646,-1,False,False,0.28305886189466817,0,0.1891625626240668,-0.06969862747742518,0.6878146682661866,8.672402755724544,0.09216402185196622,0.1324775651856952,0.1929025077459187,96485.66436904525,1.8560130405872555,31.166548652460353,1.5926346031833098
41,0,41,179.56118897060153,-1,False,False,0.8345018751019078,0,0.19658487732354182,-0.08457753890782067,0.044828234480592685,14.901284022480485,0.034798814876206466,0.19540837845167833,0.19205174404800643,96775.76316994046,0.9318349499715102,26.87662590694611,1.9793816891391072
42,0,42,201.86219513512393,1,True,False,1.0,0,0.38481768034152003,-0.010158976331237718,-0.06349113755736188,2.6345907914222364,0.037680755913689606,0.1692410574275136,0.13140368580634154,61040.72511888487,1.1669503685533968,379.6165593072152,0.6692312387231282
43,0,43,90.6508632075101,-1,False,False,0.11544105657916191,0,0.25965134564481684,-0.04909595152844366,1.1097133459724309,11.767553862612957,0.026760352527406064,0.14994649167386143,0.06520933226323088,18713.71520115229,1.5928073596126016,202.85939919771522,1.0735297213590798
44,0,44,172.68961670675878,1,True,False,1.0,0,0.5046399920638763,-0.05075422196228625,0.06821168159532902,1.7948410735008349,0.11953616594289969,0.22885286827458323,0.20661182959574448,15598.588906967325,1.879385891537388,41.55404532409503,0.5123408497020316
45,0,45,215.79830141247777,1,True,False,1.0,0,0.343106894845728,0.17913556320854213,0.3181834829999723,1.4623349453202994,0.0703336447986407,0.08339539465261404,0.08820869941890035,82240.91118146662,2.19484969021876,36.12738251785622,1.4387697516894307
46,0,46,262.74319860285505,1,True,False,1.0,0,0.24117240541645243,-0.04694979524438744,0.019680099049917604,4.7221082877274725,0.07269372000500571,0.11376104489384543,0.14258579000175103,43883.660758345504,2.3767282783944372,71.45963685183943,1.6443834579098995
47,0,47,240.2713672642216,-1,False,False,0.11462579488015653,0,0.07866701313468481,-0.03361915702193591,1.1014681725328983,13.228124288039583,0.03793712636882063,0.08589865771542579,0.07811066252512683,113549.47721903627,3.795569559995712,42.02317661510115,1.9488428750896911
48,0,48,192.59611380451273,1,True,False,1.0,0,0.4172295263378907,-0.07888402390841721,-0.022578400374221555,3.909447339727656,0.07064760161881307,0.1545031584017079,0.2063929444382144,8928.029669841148,1.603727850520335,137.96172974080642,0.4128769714555742
49,0,49,318.71989425908646,1,True,False,1.0,0,0.16065295182984998,-0.022510012641140345,0.028393600482351275,4.311708069684304,0.06650634540975404,0.22736283510515326,0.18175352346524604,75517.33775162391,3.1637442038525934,195.15567440264294,1.7444786824989593
50,0,50,154.94728468468674,-1,False,False,0.11772378933637698,0,0.16308144125045096,-0.036354625315954944,1.0536938846775188,10.540673670313643,0.0935683059313601,0.1173124555229207,0.08682251566379867,62062.94820558159,1.0804305351903143,385.8105654989639,1.3142928235054063
51,0,51,298.46699821507167,1,True,False,1.0,0,0.18644179714823883,-0.03159416810400509,-0.0861187027204566,5.612077580205553,0.11366431566523508,0.08947475166819051,0.1423146140312394,10250.99288850987,3.878996981796008,127.45920710454526,1.666233216260092
52,0,52,293.5477536299441,1,True,False,1.0,0,0.19320431369537194,-0.05631387772133424,0.010168674141180209,4.94691386106784,0.10017966266685387,0.1935399734619286,0.16298903516682964,104963.57274736254,2.0172196833333507,76.08494379253293,1.4766059189345284
53,0,53,150.62524596641438,-1,False,False,0.8364585031795206,0,0.24234283805685003,-0.08052314519073688,-0.03667063510230982,12.690774286002553,0.05350760200337944,0.18723484039219046,0.09344598525825701,35640.14839372165,3.1921009565384653,24.679501266084113,1.5373315112552617
54,0,54,156.99694762678288,1,True,False,1.0,0,0.5954448885783313,-0.06009095557279394,0.026622531263086877,1.2160546773070464,0.1158350028995291,0.14904726209470148,0.12545133700502062,56285.77412323271,2.331546044881321,210.23879118452766,0.44408842104730806
55,0,55,85.35266023658777,-1,False,False,0.8406978640143487,0,0.4030294091496577,-0.09512167713808264,-0.06118941029048078,8.879086189280216,0.07581086928495875,0.23710163942467583,0.0663368924941811,27267.618622090842,2.7087551925601145,117.74465282482093,0.4260738662895919
56,0,56,101.61562276277284,-1,False,False,0.11674547529757053,0,0.23995587731060963,-0.04982882702450662,1.1061448858748102,9.305197504599038,0.04221968852272643,0.09715434407400111,0.20059054155962458,13670.058105756052,2.090017632022651,223.81338020052928,1.5024361562418103
57,0,57,68.6766356737427,-1,False,False,0.8403717593347465,0,0.47003926439921767,-0.08541334318228376,-0.055561164623151124,8.74842608289818,0.10070457469263903,0.1485050730987591,0.159261669398309,73487.02905953462,2.873320726045371,157.8583460435785,0.9904188303530972
58,0,58,149.6015297777887,-1,False,False,0.2824066525354639,0,0.18460104965538143,-0.08397734024794955,0.7019190915182979,8.81652841330707,0.05960826639763371,0.2014155285064583,0.12086882497828004,28306.035556929928,3.144099814992481,101.18370714614267,0.8746553701593385
59,0,59,111.69959197749733,-1,False,False,0.8361323984999185,0,0.3237332533206833,-0.08737949197897749,0.018009156475365218,12.575465144171925,0.058096259413290274,0.22049852912815282,0.1856384644317939,26862.25471626927,2.995118289054397,22.341109312976624,0.9626572865991232
60,0,60,134.818123735094,-1,False,False,0.11739768465677483,0,0.18898296948317822,-0.013091782644045508,1.0465478565004247,13.044671606745034,0.07795393575183593,0.1659869069824456,0.16635822168856762,50129.53427709684,2.542593878664935,77.45412242642615,0.611922269917554
61,0,61,308.6741182100264,1,True,False,1.0,0,0.17305583211214745,-0.015803736289323425,0.012742889660247489,5.0969884919021275,0.049292217703453,0.14184153568164393,0.21984940087677055,20783.718147075586,2.06582748636744,66.15200861231347,1.288427157192281
62,0,62,213.7612124187287,-1,False,False,0.11674547529757053,0,0.10153218596217804,-0.004975590462433732,1.04215783625947,14.270580112661376,0.1089072893718519,0.13165636168386122,0.10270418272670925,87745.21755369473,2.228416686199556,181.708562553129,0.42459541881041
63,0,63,154.78336968781,-1,False,False,0.8366215555193217,0,0.23519788008663411,-0.08006350344914019,-0.033217894699410375,13.131807756407472,0.05129651626169256,0.15396012188461913,0.09168337308151311,24965.12024952211,3.39817121053876,287.0358462245045,1.1052424222162525
64,0,64,168.5377300525909,-1,False,False,0.11707157997717267,0,0.14715097714153216,-0.021384236910540963,1.0201262455267481,11.75074981649921,0.0658066865726573,0.13093770463404958,0.14734223625287257,13800.191193604014,1.6079653370802371,194.40831332717212,1.6098737686089568
65,0,65,233.18758324925918,1,True,False,1.0,0,0.29979117082600437,0.13712048197477703,0.015217581402259123,1.7939138941335635,0.09328261400527485,0.21531168778266035,0.13123097171972264,9474.176866649148,2.8901963940594215,44.172504549466815,1.3937074591677736
66,0,66,317.277686899479,1,True,False,1.0,0,0.1623897780871109,-0.09535342152967599,-0.017224080835629124,6.272715126945057,0.0837163520387895,0.10904562721475279,0.13624592361194054,33124.95991642383,2.708546138507781,38.463291818057094,1.9354868278442343
67,0,67,84.73938483445212,-1,False,False,0.8423283874123594,0,0.40561092274561256,-0.026845476977912508,-0.06969783088008308,5.047933060406991,0.050602013176748006,0.10869935280042772,0.070796201690895,25146.98531106094,3.2014270896085026,196.3188517693042,0.6324731701685373
68,0,68,241.73283852859916,1,True,False,1.0,0,0.2811995734229159,-0.020933460588431582,0.1066832647953161,2.917046635466657,0.05214279404015702,0.20596847914411381,0.13809250173635607,97462.78887508684,2.7973431807442783,147.5775941015182,1.6050749142804477
69,0,69,147.93888476676628,-1,False,False,0.11495189955975868,0,0.17151288178541935,-0.03580314295038549,1.0956843939937315,11.503615467701477,0.05438381250143935,0.10883159632825923,0.13001942235610914,30094.651590893896,0.996029696483717,82.79153376226164,1.3876995349988261
70,0,70,197.83288065473135,1,True,False,1.0,0,0.3983824314046024,0.009856810204395071,0.1642861725081259,2.900003069768716,0.0338037888058955,0.09300706837752164,0.10533302485732032,108180.21965708313,0.5902695240841154,36.131522344773764,0.580581326941241
71,0,71,67.25986039363181,-1,False,False,0.8477091146257949,0,0.4789913640762491,-0.05896885326240013,-0.10668610483560269,7.640872352150572,0.021507277853041667,0.14705291190305067,0.08606759198615996,16603.953022320315,3.273542120161392,36.169701850207005,1.3491190162172386
72,0,72,232.66172638153324,1,True,False,1.0,0,0.3009870627451803,-0.095229048951833,-0.030047437363277432,6.688371778479782,0.061759556923596984,0.21520062934360765,0.08574639266994995,97628.16304677611,3.6272180004142354,171.91113442190328,0.38406044520972993
73,0,73,103.34846539670104,-1,False,False,0.8375998695581282,0,0.3460918132091724,-0.08195553191350566,-0.04622124631680005,10.286319398873879,0.0800347682364009,0.2067191226403215,0.09421305317228484,105760.5395102502,3.6016900241742893,28.899772069969643,0.8358431596006697
74,0,74,167.45358907564446,1,True,False,1.0,0,0.5325102454755593,-0.08535390395126356,-0.013132887061663365,1.4542186447954408,0.10309472126080714,0.23386800186690945,0.2183694802201443,41953.6404048897,2.8309495259707256,177.58252754560547,1.2692523391819859
75,0,75,218.82781873080495,-1,False,False,0.11397358552095223,0,0.09681768091923118,-0.016467008891488347,1.0471295847694242,14.333920758866586,0.08078612287284866,0.12378794744745664,0.1420603583895254,8414.711506030057,3.0344420668865357,186.67666387180714,1.0157869401197601
76,0,76,205.95263341811545,-1,False,False,0.11674547529757053,0,0.10873172056918019,-0.012772239157268342,0.9923665476306601,12.920735266562035,0.09555260958502994,0.12397007369142408,0.07239967515796972,11444.487015162937,1.1449528026718239,53.19724822320657,1.0607767311750183
77,0,77,172.81279766124646,-1,False,False,0.8348279797815099,0,0.20641179219212227,-0.0776448608888212,0.02471515875778532,13.991952096061226,0.047841789787958194,0.23073127597818924,0.1688739488170511,80700.37336449636,1.9113868814080848,20.21206491002245,1.6378445155116412
78,0,78,84.96010073435164,-1,False,False,0.8411870210337519,0,0.40454075726073874,-0.015494426207028456,-0.04062743999414098,4.436661917068225,0.034248020576250704,0.21190340367404714,0.16981258399965193,14220.329120938713,1.436536351521857,411.1525375324716,0.7565145576568539
79,0,79,167.48647905514397,-1,False,False,0.8366215555193217,0,0.21466229692615435,-0.07762653175989526,-0.0522091234071198,10.83368229261399,0.032955324664319045,0.21485681514948815,0.07881440179482294,32359.473398523365,0.623261692985304,117.4915957807493,1.7392567437740083
80,0,80,225.07511504764398,1,True,False,1.0,0,0.31898239947155077,-0.01816002579542056,0.04295495552838943,2.1815791668036355,0.047425657939054094,0.20529168204461892,0.1572957311131578,18662.408637832905,2.701163578089403,86.43462356816363,1.7660056516992615
81,0,81,262.6858276957869,1,True,False,1.0,0,0.24127237595343357,-0.04327431123307257,-0.04847998283256194,5.10115863497026,0.09577306031523214,0.18077808946326607,0.17846858572964466,22282.30756258095,3.0372235662564506,189.40340374801303,0.9587311165745533
82,0,82,180.44519355133545,1,True,False,1.0,0,0.467334966415287,-0.06012013382817921,0.04173691899892307,1.3703312244504664,0.1162913318380196,0.195584075254529,0.09275818374860803,57887.65580507325,1.475391772508321,90.5863626980884,1.7618098730430272
83,0,83,67.68593059471505,-1,False,False,0.8465677482471874,0,0.47661916310758584,-0.08102476856712626,-0.0767664831065123,7.273009441291702,0.04880065728402455,0.11804331120666257,0.07232276266474771,14496.013357492615,1.4488718025661025,34.90040273453535,0.4072117148202306
84,0,84,289.5301896894693,1,True,False,1.0,0,0.19888958019554623,-0.09907362151303145,-0.03617307126948033,7.521048281609799,0.041439613109783,0.20036639710605195,0.20760444204846767,16755.018287671224,2.5028690177178747,102.18851215906875,0.42768451585295864
85,0,85,108.62258081233905,-1,False,False,0.8356432414805153,0,0.33153303068590817,0.0052161773311074355,0.030593415116483585,2.748241353199877,0.10847794579004852,0.15008888718823105,0.18873758564896617,9580.650973270376,2.581845978030901,324.1038548655513,1.7740123644509516
86,0,86,20.901811213317252,-1,False,False,0.28045002445785094,0,0.5119694486296396,0.01834139536286264,0.5304673662962962,1.080114011227761,0.07217201044989754,0.13011090236353368,0.18160672465584787,9754.43702249918,1.4272429676122718,273.56205533271407,1.0982455783126281
87,0,87,76.92433274018524,-1,False,False,0.8374368172183271,0,0.43383357096197356,-0.05149098778982064,-0.0927306871279236,7.3441045008839065,0.1168558648077686,0.12077922584150855,0.06667552938325916,23139.49942845714,1.0368074654937074,26.03214159482692,1.2653626065280672
88,0,88,201.12450019582298,-1,False,False,0.11723463231697374,0,0.1133429612910085,0.012256809517985218,1.0503923813796754,14.350058624817605,0.07794075742763787,0.18295176403586538,0.11178061786227553,37564.93026011126,3.132855797745306,133.29531075139758,1.6647232361187312
89,0,89,120.7549126596034,-1,False,False,0.8371107125387249,0,0.3021405168159966,-0.06455726245090922,-0.007913346175531535,8.706589526393856,0.039814405647103104,0.17071798830461093,0.13854973553773334,12538.49226270065,2.667080479061677,277.3906533280998,0.5296490789122424
90,0,90,107.95017250773554,-1,False,False,0.8367846078591228,0,0.33350301183903114,-0.11442825765994484,-0.06018767061763146,8.62924206293208,0.09336871327932715,0.13657334327468126,0.10320739859387859,21924.299384734382,2.3959448159298833,182.36437549599384,1.2505978769848036
91,0,91,120.48384205098316,-1,False,False,0.837273764878526,0,0.30278886942034533,0.027024753639112484,-0.048392749789950576,2.4983504898973523,0.10178863932447664,0.2355333457021443,0.07620685479069157,15723.442808027312,1.107884159084695,307.67908424371547,1.8474738301503244
92,0,92,187.09991199158068,1,True,False,1.0,0,0.43869629504449753,-0.03004808356021578,0.09877285438764165,1.6198325599205443,0.053241941396462725,0.09657397647920213,0.13512523310229346,97043.04894655908,0.7456063457760256,34.71106352353184,1.1279497785183314
93,0,93,89.60661197067947,-1,False,False,0.8390673406163378,0,0.388081226903471,-0.0837855048891633,-0.03961045577300719,8.336485726679319,0.09455012829941971,0.14316034732403046,0.08258188023032484,20843.460255499092,3.937325913938693,224.1271763342734,0.49778543160911404
94,0,94,145.9163989810056,-1,False,False,0.11560410891896299,0,0.1741391358466639,0.02991867080764756,1.0997842712931205,12.31492850374586,0.051092646398148346,0.20846533160115768,0.0620354318712001,84680.45822272211,1.0680861333184368,86.72453647606388,1.4249845170944355
95,0,95,84.26287021545292,-1,False,False,0.8413500733735529,0,0.4070710704530155,-0.0891115865342519,-0.06282648104753764,8.110173955424772,0.036539776755739564,0.08643251750962641,0.1055255028678341,9219.50224628219,1.2579066848851355,30.40247942552472,1.090154924671459
96,0,96,228.80711201870423,1,True,False,1.0,0,0.3099517859906908,-0.09468075580855814,-0.044677745046540734,5.991139010797439,0.07868322487004711,0.11336698428014425,0.06542576776376507,19611.271574453243,3.1431324644538003,45.56972370802523,0.987732336824976
97,0,97,91.97955082791741,-1,False,False,0.8367846078591228,0,0.37982167886877966,-0.09197554191303195,0.01873864824356017,11.569641326550576,0.060668128404433336,0.2285535850703961,0.20689096095176418,18548.174801849917,3.0758727858101342,45.17231551493768,0.5371897298981
98,0,98,332.97572568184495,1,True,False,1.0,0,0.14420808678081462,-0.09031145640096894,-0.09134939778320567,7.130334578361003,0.08024724290008162,0.23776226948969606,0.08334424304521755,55067.264442621075,2.164125767043477,30.559883360987268,1.9535186804095501
99,0,99,132.04938877794862,-1,False,False,0.8380890265775314,0,0.277780301127822,-0.08658352536146091,-0.037244599015111624,10.74076527840241,0.03288586757637613,0.23209352953832144,0.07649506568835754,10281.718351185313,1.6604284844054304,409.48748412911254,0.3561416185144777
100,0,100,249.9633197992965,-1,False,False,0.11707157997717267,0,0.07107236343808536,-0.03721022090330142,1.064279257088577,13.854901375122832,0.08116115786951264,0.07273981124284903,0.15097467606856174,27712.11965178571,2.473945921038049,214.5834978400056,1.4536524652129066
