epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
56,1393.93,0.57407,0.87371,0.69836,0.94308,0,0.92102,0.85,0.95508,0.82801,0.94033,0.86667,0.9663,0.80132,0.535,0.809,0.79244,0.94743,0,0.000911,0.000911,0.000911
57,1417.35,0.52556,0.88097,0.72189,0.93966,0,0.94424,0.84681,0.95027,0.83185,0.96282,0.8633,0.96104,0.81668,0.49263,0.74764,0.76881,0.90384,0,0.0008912,0.0008912,0.0008912
58,1440.87,0.55113,0.84353,0.72219,0.95169,0,0.9121,0.86474,0.92636,0.81726,0.94723,0.89763,0.95146,0.76896,0.49529,0.87037,0.80423,0.90745,0,0.0008714,0.0008714,0.0008714
59,1464.23,0.56259,0.83679,0.69618,0.94536,0,0.91351,0.88021,0.93147,0.83427,0.93077,0.89639,0.94251,0.73965,0.48039,0.98305,0.77816,0.89695,0,0.0008516,0.0008516,0.0008516
60,1487.49,0.50294,0.88266,0.69933,0.92126,0,0.94584,0.91667,0.97126,0.87179,0.96315,0.93333,0.97527,0.76596,0.46213,1.08843,0.69293,0.88638,0,0.0008318,0.0008318,0.0008318
61,1510.99,0.54196,0.76974,0.66209,0.93658,0,0.95882,0.88333,0.97955,0.9022,0.91865,0.94114,0.98426,0.80474,0.42209,0.97231,0.63939,0.86969,0,0.000812,0.000812,0.000812
62,1534.48,0.52995,0.81459,0.6589,0.91499,0,0.91982,0.95608,0.9795,0.89998,0.89362,0.96667,0.98334,0.85284,0.41292,0.81293,0.6311,0.85865,0,0.0007922,0.0007922,0.0007922
63,1574.32,0.5197,0.83988,0.67953,0.92959,0,0.95182,0.91667,0.98079,0.8986,0.95182,0.91667,0.98216,0.86215,0.44226,0.73385,0.62725,0.86777,0,0.0007724,0.0007724,0.0007724
64,1632.01,0.54144,0.74295,0.64298,0.9241,0,0.93515,0.96134,0.98134,0.91343,0.93515,0.96134,0.98227,0.86011,0.4196,0.72196,0.61238,0.86565,0,0.0007526,0.0007526,0.0007526
65,1688.92,0.49854,0.79901,0.62811,0.92497,0,0.92248,0.96667,0.9872,0.9153,0.92248,0.96667,0.9872,0.8968,0.42221,0.64297,0.58124,0.86031,0,0.0007328,0.0007328,0.0007328
66,1745.64,0.4823,0.76809,0.62184,0.90247,0,0.94695,0.98333,0.98884,0.91044,0.94695,0.98333,0.98884,0.89467,0.41929,0.59235,0.55952,0.85819,0,0.000713,0.000713,0.000713
67,1801.75,0.51668,0.79136,0.63898,0.91479,0,0.92943,0.98333,0.98661,0.91805,0.92943,0.98333,0.98661,0.89834,0.38418,0.57842,0.56556,0.85295,0,0.0006932,0.0006932,0.0006932
68,1859.92,0.51901,0.74171,0.62676,0.93389,0,0.92092,0.98333,0.98473,0.92488,0.92092,0.98333,0.98473,0.89841,0.3854,0.55795,0.56105,0.85139,0,0.0006734,0.0006734,0.0006734
69,1918.24,0.49466,0.84237,0.63947,0.92032,0,0.94955,0.94121,0.98785,0.90916,0.94955,0.94121,0.98785,0.9037,0.41789,0.55292,0.56905,0.86447,0,0.0006536,0.0006536,0.0006536
70,1977.31,0.52103,0.71807,0.62609,0.91261,0,0.95165,0.98412,0.98994,0.9118,0.95165,0.98412,0.98994,0.89478,0.39775,0.56515,0.55433,0.86278,0,0.0006338,0.0006338,0.0006338
71,2034.21,0.47723,0.74668,0.58619,0.90806,0,0.9216,0.97959,0.98818,0.9055,0.9216,0.97959,0.98818,0.88924,0.39107,0.57773,0.56522,0.86159,0,0.000614,0.000614,0.000614
72,2091.06,0.49736,0.72957,0.60818,0.91096,0,0.91759,0.96667,0.98427,0.92065,0.91759,0.96667,0.98427,0.88582,0.37317,0.57422,0.5826,0.85487,0,0.0005942,0.0005942,0.0005942
73,2148.27,0.5197,0.73146,0.62733,0.93468,0,0.91846,0.96667,0.98167,0.92094,0.91846,0.96667,0.98167,0.88133,0.36009,0.56646,0.57946,0.84967,0,0.0005744,0.0005744,0.0005744
