candidate_id,episode,variation_id,score,completed,collided,progress_ratio,qp_failures,mean_abs_cte,min_obstacle_clearance,min_barrier_clearance,alpha,margin,lookahead_l,barrier_lookahead_l,Wv,Ww,p_slack
4,0,12,167.41811397927827,True,False,1.0,0,0.22999043526522048,-0.04848823273416116,0.038172705281733256,4.0,0.04,0.14,0.1,30000.0,2.0,75.0
4,1,13,169.0342865097828,True,False,1.0,0,0.19853034853470986,0.01252603338839079,0.034978585578364176,4.0,0.04,0.14,0.1,30000.0,2.0,75.0
4,2,14,167.4776809780631,True,False,1.0,0,0.2858813644528225,-0.03519875197450769,0.03754472697409764,4.0,0.04,0.14,0.1,30000.0,2.0,75.0
5,0,15,166.63651883757387,True,False,1.0,0,0.18519541569836945,-0.05080755877192612,-0.07791334379855176,7.0,0.05,0.18,0.12,20000.0,2.0,100.0
5,1,16,166.84880258481655,True,False,1.0,0,0.14549497447382637,-0.07856283180698993,-0.05811026364711615,7.0,0.05,0.18,0.12,20000.0,2.0,100.0
5,2,17,165.61262837960703,True,False,1.0,0,0.2090114985999081,-0.05973960107740085,-0.09854360163754185,7.0,0.05,0.18,0.12,20000.0,2.0,100.0
6,0,18,6.06608768242945,False,False,0.11658242295776944,0,0.19664733015162142,-0.03899508783978484,1.055813458401709,10.0,0.07,0.1,0.16,15000.0,1.5,200.0
6,1,19,5.221504718158545,False,False,0.11381053318115116,0,0.23604880737993975,-0.05244080335316137,1.0763253654451492,10.0,0.07,0.1,0.16,15000.0,1.5,200.0
6,2,20,5.875206392447516,False,False,0.11609326593836622,0,0.21426449759025612,-0.04074171975851232,1.017751524917079,10.0,0.07,0.1,0.16,15000.0,1.5,200.0
7,0,21,169.53069004242093,True,False,1.0,0,0.2476854932173207,0.05648905565138129,0.1094351956346567,3.0,0.06,0.08,0.12,100000.0,1.0,100.0
7,1,22,167.33549947198762,True,False,1.0,0,0.313714982477359,-0.03430369624820723,0.1004049459860481,3.0,0.06,0.08,0.12,100000.0,1.0,100.0
7,2,23,169.96662481080327,True,False,1.0,0,0.22153200640404558,0.07198982495708645,0.10755244100103645,3.0,0.06,0.08,0.12,100000.0,1.0,100.0
8,0,24,167.7789915243378,True,False,1.0,0,0.14806434054231704,-0.052553426079507054,-0.0038120706123506987,6.0,0.03,0.16,0.08,50000.0,3.0,50.0
8,1,25,168.26037738284316,True,False,1.0,0,0.1796803216898577,-0.029830935053175106,-0.012219539382113759,6.0,0.03,0.16,0.08,50000.0,3.0,50.0
8,2,26,167.7843197609533,True,False,1.0,0,0.1503747987853522,-0.05196533409376805,-0.002161198267753933,6.0,0.03,0.16,0.08,50000.0,3.0,50.0
9,0,27,54.8428832497476,False,False,0.8369476601989239,0,0.3509260353963827,-0.0615392259053021,-0.014350352145782633,9.0,0.05,0.12,0.18,20000.0,2.0,250.0
9,1,28,15.983807456183529,False,False,0.28403717593347466,0,0.2184334085299857,-0.08611294254128606,0.675727191170191,9.0,0.05,0.12,0.18,20000.0,2.0,250.0
9,2,29,54.27638686861438,False,False,0.8369476601989239,0,0.341690664510478,-0.07810150391117611,0.013578383792377455,9.0,0.05,0.12,0.18,20000.0,2.0,250.0
10,0,30,8.165421176221766,False,False,0.1141366378607533,0,0.10259649191565029,0.04396863763682976,1.063965646976278,14.0,0.1,0.18,0.18,10000.0,1.0,300.0
10,1,31,7.214384362994974,False,False,0.11283221914234469,0,0.15109109218136021,0.012370865339944831,1.0583688248998386,14.0,0.1,0.18,0.18,10000.0,1.0,300.0
10,2,32,8.07555741339516,False,False,0.11478884721995761,0,0.11260562828619303,0.039776215428627054,1.0140440443086267,14.0,0.1,0.18,0.18,10000.0,1.0,300.0
11,0,33,168.27840237608362,True,False,1.0,0,0.21378939935781813,-0.020963192550214046,-0.0007803898417542005,5.0,0.08,0.1,0.14,75000.0,1.0,200.0
11,1,34,168.2061745426358,True,False,1.0,0,0.15235348918402145,-0.0377743503412175,0.0012969785596535638,5.0,0.08,0.1,0.14,75000.0,1.0,200.0
11,2,35,168.50054949837278,True,False,1.0,0,0.2000594073681053,-0.014891550037089349,-0.0009278212033940608,5.0,0.08,0.1,0.14,75000.0,1.0,200.0
