sample_id,episode,variation_id,score,D_min,label,completed,collided,progress_ratio,qp_failures,mean_abs_cte,min_obstacle_clearance,min_barrier_clearance,class_k_p,class_k_q
12,0,12,-6769.2415733139405,-0.024317363499805802,-1,False,False,0.1811511495189956,2258,1.3065611661347667,0.6438452828385643,-0.024317363499805802,2.1524946400414695,0.3966724175150434
13,0,13,26.670858219495575,0.30439225169054407,-1,False,False,0.41708788521115275,0,0.42088229088085294,0.30439225169054407,0.43396791874820584,0.11957586818316752,1.4327554045970148
14,0,14,17.484978737884482,-0.23913395699850098,-1,False,False,0.4490461438121637,0,0.9903907357334074,0.10429132849482163,-0.23913395699850098,1.0339674251030584,2.317769101024275
15,0,15,168.84292272681006,0.15005976926618303,1,True,False,1.0,0,0.19284621219832468,0.15005976926618303,0.28835303121626976,2.340204188792981,1.4310588225189307
16,0,16,166.69794896764668,-0.005456356305313562,1,True,False,1.0,0,0.5496471628291729,-0.005456356305313562,0.028636996550585922,1.2057074367158787,0.8445328284601279
17,0,17,2.5057914867501907,0.09203331643300804,-1,False,False,0.10728843958910811,0,0.8340665474145628,1.0701730017940017,0.09203331643300804,0.10608766139475478,0.7232847167676835
18,0,18,168.2036477108553,-0.04715986104644061,1,True,False,1.0,0,0.24749748999932192,-0.04715986104644061,0.008035489917725,3.205716032654663,0.7413347927713895
19,0,19,-7548.664526245597,0.07685989064911651,-1,False,False,0.028208054785586172,2514,1.4398483467646328,4.248358516046102,0.07685989064911651,0.6370077783076364,0.30821533251456706
20,0,20,18.122354968883666,-0.07583094706207379,-1,False,False,0.2811022338170553,0,0.12495914063064309,-0.07583094706207379,0.6883704419462935,6.401173658766405,0.6398143783351677
21,0,21,167.46229389672837,0.1783730895261404,1,True,False,1.0,0,0.4229510172119403,0.1783730895261404,0.43944063024127566,0.382226248220587,2.236730738757823
22,0,22,21.69952552945937,-0.1941153021295292,-1,False,False,0.4687754769280939,0,0.973242130431638,0.08209743923370176,-0.1941153021295292,1.286326821481832,2.1637305420049127
23,0,23,168.81717073855847,0.17168292749186487,1,True,False,1.0,0,0.19713821024025469,0.17168292749186487,0.34213129311241786,2.4665103105731183,1.9318960841960857
24,0,24,27.76009914605947,0.22879876166869273,-1,False,False,0.44692646339474973,0,0.5874588819288349,0.22879876166869273,0.24454275824151417,0.15816223246144553,1.4905164070282755
25,0,25,168.63460540116398,0.24302658300158508,1,True,False,1.0,0,0.22756576647266782,0.24302658300158508,0.5021837528644615,1.2733820540670002,2.2169466287243376
